"fid","lbr_frc_stat","p","sa4_code_2016","sa4_name_2016","state_name_abbr"
1,"Employed Full-Time",100200,102,"Central Coast","NSW"
5,"Employed Full-Time",97500,115,"Sydney - Baulkham Hills and Hawkesbury","NSW"
9,"Employed Full-Time",152200,116,"Sydney - Blacktown","NSW"
13,"Employed Full-Time",180800,117,"Sydney - City and Inner South","NSW"
17,"Employed Full-Time",131000,118,"Sydney - Eastern Suburbs","NSW"
21,"Employed Full-Time",205700,119,"Sydney - Inner South West","NSW"
25,"Employed Full-Time",133800,120,"Sydney - Inner West","NSW"
29,"Employed Full-Time",164400,121,"Sydney - North Sydney and Hornsby","NSW"
33,"Employed Full-Time",101300,122,"Sydney - Northern Beaches","NSW"
37,"Employed Full-Time",112900,123,"Sydney - Outer South West","NSW"
41,"Employed Full-Time",125100,124,"Sydney - Outer West and Blue Mountains","NSW"
45,"Employed Full-Time",175900,125,"Sydney - Parramatta","NSW"
49,"Employed Full-Time",82600,126,"Sydney - Ryde","NSW"
53,"Employed Full-Time",136400,127,"Sydney - South West","NSW"
57,"Employed Full-Time",93600,128,"Sydney - Sutherland","NSW"
61,"Employed Full-Time",72100,101,"Capital Region","NSW"
65,"Employed Full-Time",80800,103,"Central West","NSW"
69,"Employed Full-Time",37500,104,"Coffs Harbour - Grafton","NSW"
73,"Employed Full-Time",40800,105,"Far West and Orana","NSW"
77,"Employed Full-Time",91300,106,"Hunter Valley exc Newcastle","NSW"
81,"Employed Full-Time",103100,107,"Illawarra","NSW"
85,"Employed Full-Time",50000,108,"Mid North Coast","NSW"
89,"Employed Full-Time",41800,109,"Murray","NSW"
93,"Employed Full-Time",60600,110,"New England and North West","NSW"
97,"Employed Full-Time",126200,111,"Newcastle and Lake Macquarie","NSW"
101,"Employed Full-Time",76200,112,"Richmond - Tweed","NSW"
105,"Employed Full-Time",58000,113,"Riverina","NSW"
109,"Employed Full-Time",43700,114,"Southern Highlands and Shoalhaven","NSW"
113,"Employed Full-Time",328400,206,"Melbourne - Inner","VIC"
117,"Employed Full-Time",139500,207,"Melbourne - Inner East","VIC"
121,"Employed Full-Time",157400,208,"Melbourne - Inner South","VIC"
125,"Employed Full-Time",198300,209,"Melbourne - North East","VIC"
129,"Employed Full-Time",130400,210,"Melbourne - North West","VIC"
133,"Employed Full-Time",178800,211,"Melbourne - Outer East","VIC"
137,"Employed Full-Time",316100,212,"Melbourne - South East","VIC"
141,"Employed Full-Time",314400,213,"Melbourne - West","VIC"
145,"Employed Full-Time",99800,214,"Mornington Peninsula","VIC"
149,"Employed Full-Time",53900,201,"Ballarat","VIC"
153,"Employed Full-Time",52700,202,"Bendigo","VIC"
157,"Employed Full-Time",104100,203,"Geelong","VIC"
161,"Employed Full-Time",61200,204,"Hume","VIC"
165,"Employed Full-Time",71600,205,"Latrobe - Gippsland","VIC"
169,"Employed Full-Time",47000,215,"North West","VIC"
173,"Employed Full-Time",38700,216,"Shepparton","VIC"
177,"Employed Full-Time",41000,217,"Warrnambool and South West","VIC"
181,"Employed Full-Time",93600,301,"Brisbane - East","QLD"
185,"Employed Full-Time",91300,302,"Brisbane - North","QLD"
189,"Employed Full-Time",132500,303,"Brisbane - South","QLD"
193,"Employed Full-Time",71000,304,"Brisbane - West","QLD"
197,"Employed Full-Time",141500,305,"Brisbane Inner City","QLD"
201,"Employed Full-Time",129900,310,"Ipswich","QLD"
205,"Employed Full-Time",115300,311,"Logan - Beaudesert","QLD"
209,"Employed Full-Time",75100,313,"Moreton Bay - North","QLD"
213,"Employed Full-Time",78300,314,"Moreton Bay - South","QLD"
217,"Employed Full-Time",90500,306,"Cairns","QLD"
221,"Employed Full-Time",44400,307,"Darling Downs - Maranoa","QLD"
225,"Employed Full-Time",78500,308,"Central Queensland","QLD"
229,"Employed Full-Time",235100,309,"Gold Coast","QLD"
233,"Employed Full-Time",72700,312,"Mackay - Isaac - Whitsunday","QLD"
237,"Employed Full-Time",31900,315,"Queensland - Outback","QLD"
241,"Employed Full-Time",115800,316,"Sunshine Coast","QLD"
245,"Employed Full-Time",49800,317,"Toowoomba","QLD"
249,"Employed Full-Time",80100,318,"Townsville","QLD"
253,"Employed Full-Time",75900,319,"Wide Bay","QLD"
257,"Employed Full-Time",106000,401,"Adelaide - Central and Hills","SA"
261,"Employed Full-Time",136400,402,"Adelaide - North","SA"
265,"Employed Full-Time",119400,403,"Adelaide - South","SA"
269,"Employed Full-Time",82600,404,"Adelaide - West","SA"
273,"Employed Full-Time",34400,405,"Barossa - Yorke - Mid North","SA"
277,"Employed Full-Time",28100,406,"South Australia - Outback","SA"
281,"Employed Full-Time",56900,407,"South Australia - South East","SA"
285,"Employed Full-Time",25200,502,"Mandurah","WA"
289,"Employed Full-Time",72300,503,"Perth - Inner","WA"
293,"Employed Full-Time",96100,504,"Perth - North East","WA"
297,"Employed Full-Time",208500,505,"Perth - North West","WA"
301,"Employed Full-Time",191300,506,"Perth - South East","WA"
305,"Employed Full-Time",154400,507,"Perth - South West","WA"
309,"Employed Full-Time",60800,501,"Bunbury","WA"
313,"Employed Full-Time",44600,509,"Western Australia - Wheat Belt","WA"
317,"Employed Full-Time",73700,601,"Hobart","TAS"
321,"Employed Full-Time",45600,602,"Launceston and North East","TAS"
325,"Employed Full-Time",11300,603,"South East","TAS"
329,"Employed Full-Time",31300,604,"West and North West","TAS"
333,"Employed Full-Time",63300,701,"Darwin","NT"
337,"Employed Full-Time",36000,702,"Northern Territory - Outback","NT"
2,"Employed Part-Time",50400,102,"Central Coast","NSW"
6,"Employed Part-Time",38700,115,"Sydney - Baulkham Hills and Hawkesbury","NSW"
10,"Employed Part-Time",48100,116,"Sydney - Blacktown","NSW"
14,"Employed Part-Time",61100,117,"Sydney - City and Inner South","NSW"
18,"Employed Part-Time",44600,118,"Sydney - Eastern Suburbs","NSW"
22,"Employed Part-Time",87500,119,"Sydney - Inner South West","NSW"
26,"Employed Part-Time",51200,120,"Sydney - Inner West","NSW"
30,"Employed Part-Time",67000,121,"Sydney - North Sydney and Hornsby","NSW"
34,"Employed Part-Time",45600,122,"Sydney - Northern Beaches","NSW"
38,"Employed Part-Time",36600,123,"Sydney - Outer South West","NSW"
42,"Employed Part-Time",46300,124,"Sydney - Outer West and Blue Mountains","NSW"
46,"Employed Part-Time",67100,125,"Sydney - Parramatta","NSW"
50,"Employed Part-Time",31700,126,"Sydney - Ryde","NSW"
54,"Employed Part-Time",56300,127,"Sydney - South West","NSW"
58,"Employed Part-Time",37100,128,"Sydney - Sutherland","NSW"
62,"Employed Part-Time",31900,101,"Capital Region","NSW"
66,"Employed Part-Time",33800,103,"Central West","NSW"
70,"Employed Part-Time",24600,104,"Coffs Harbour - Grafton","NSW"
74,"Employed Part-Time",13600,105,"Far West and Orana","NSW"
78,"Employed Part-Time",42000,106,"Hunter Valley exc Newcastle","NSW"
82,"Employed Part-Time",54100,107,"Illawarra","NSW"
86,"Employed Part-Time",36000,108,"Mid North Coast","NSW"
90,"Employed Part-Time",15900,109,"Murray","NSW"
94,"Employed Part-Time",27000,110,"New England and North West","NSW"
98,"Employed Part-Time",64200,111,"Newcastle and Lake Macquarie","NSW"
102,"Employed Part-Time",49100,112,"Richmond - Tweed","NSW"
106,"Employed Part-Time",24600,113,"Riverina","NSW"
110,"Employed Part-Time",27700,114,"Southern Highlands and Shoalhaven","NSW"
114,"Employed Part-Time",115200,206,"Melbourne - Inner","VIC"
118,"Employed Part-Time",71700,207,"Melbourne - Inner East","VIC"
122,"Employed Part-Time",77700,208,"Melbourne - Inner South","VIC"
126,"Employed Part-Time",87900,209,"Melbourne - North East","VIC"
130,"Employed Part-Time",67000,210,"Melbourne - North West","VIC"
134,"Employed Part-Time",87800,211,"Melbourne - Outer East","VIC"
138,"Employed Part-Time",133900,212,"Melbourne - South East","VIC"
142,"Employed Part-Time",123700,213,"Melbourne - West","VIC"
146,"Employed Part-Time",50400,214,"Mornington Peninsula","VIC"
150,"Employed Part-Time",28100,201,"Ballarat","VIC"
154,"Employed Part-Time",30700,202,"Bendigo","VIC"
158,"Employed Part-Time",64100,203,"Geelong","VIC"
162,"Employed Part-Time",32600,204,"Hume","VIC"
166,"Employed Part-Time",54000,205,"Latrobe - Gippsland","VIC"
170,"Employed Part-Time",22200,215,"North West","VIC"
174,"Employed Part-Time",20600,216,"Shepparton","VIC"
178,"Employed Part-Time",22800,217,"Warrnambool and South West","VIC"
182,"Employed Part-Time",34800,301,"Brisbane - East","QLD"
186,"Employed Part-Time",40200,302,"Brisbane - North","QLD"
190,"Employed Part-Time",70700,303,"Brisbane - South","QLD"
194,"Employed Part-Time",30500,304,"Brisbane - West","QLD"
198,"Employed Part-Time",57100,305,"Brisbane Inner City","QLD"
202,"Employed Part-Time",51700,310,"Ipswich","QLD"
206,"Employed Part-Time",49700,311,"Logan - Beaudesert","QLD"
210,"Employed Part-Time",34100,313,"Moreton Bay - North","QLD"
214,"Employed Part-Time",39000,314,"Moreton Bay - South","QLD"
218,"Employed Part-Time",39800,306,"Cairns","QLD"
222,"Employed Part-Time",19800,307,"Darling Downs - Maranoa","QLD"
226,"Employed Part-Time",38100,308,"Central Queensland","QLD"
230,"Employed Part-Time",131600,309,"Gold Coast","QLD"
234,"Employed Part-Time",24100,312,"Mackay - Isaac - Whitsunday","QLD"
238,"Employed Part-Time",6100,315,"Queensland - Outback","QLD"
242,"Employed Part-Time",69700,316,"Sunshine Coast","QLD"
246,"Employed Part-Time",21600,317,"Toowoomba","QLD"
250,"Employed Part-Time",38600,318,"Townsville","QLD"
254,"Employed Part-Time",38700,319,"Wide Bay","QLD"
258,"Employed Part-Time",57300,401,"Adelaide - Central and Hills","SA"
262,"Employed Part-Time",70600,402,"Adelaide - North","SA"
266,"Employed Part-Time",69300,403,"Adelaide - South","SA"
270,"Employed Part-Time",42500,404,"Adelaide - West","SA"
274,"Employed Part-Time",19400,405,"Barossa - Yorke - Mid North","SA"
278,"Employed Part-Time",13600,406,"South Australia - Outback","SA"
282,"Employed Part-Time",31400,407,"South Australia - South East","SA"
286,"Employed Part-Time",15300,502,"Mandurah","WA"
290,"Employed Part-Time",34900,503,"Perth - Inner","WA"
294,"Employed Part-Time",48700,504,"Perth - North East","WA"
298,"Employed Part-Time",102300,505,"Perth - North West","WA"
302,"Employed Part-Time",96500,506,"Perth - South East","WA"
306,"Employed Part-Time",83700,507,"Perth - South West","WA"
310,"Employed Part-Time",32200,501,"Bunbury","WA"
314,"Employed Part-Time",22400,509,"Western Australia - Wheat Belt","WA"
318,"Employed Part-Time",47000,601,"Hobart","TAS"
322,"Employed Part-Time",26700,602,"Launceston and North East","TAS"
326,"Employed Part-Time",6800,603,"South East","TAS"
330,"Employed Part-Time",17900,604,"West and North West","TAS"
334,"Employed Part-Time",19000,701,"Darwin","NT"
338,"Employed Part-Time",11900,702,"Northern Territory - Outback","NT"
4,"Not in the Labour Force",122300,102,"Central Coast","NSW"
8,"Not in the Labour Force",64600,115,"Sydney - Baulkham Hills and Hawkesbury","NSW"
12,"Not in the Labour Force",87000,116,"Sydney - Blacktown","NSW"
16,"Not in the Labour Force",81000,117,"Sydney - City and Inner South","NSW"
20,"Not in the Labour Force",68300,118,"Sydney - Eastern Suburbs","NSW"
24,"Not in the Labour Force",200600,119,"Sydney - Inner South West","NSW"
28,"Not in the Labour Force",82900,120,"Sydney - Inner West","NSW"
32,"Not in the Labour Force",119700,121,"Sydney - North Sydney and Hornsby","NSW"
36,"Not in the Labour Force",69400,122,"Sydney - Northern Beaches","NSW"
40,"Not in the Labour Force",73500,123,"Sydney - Outer South West","NSW"
44,"Not in the Labour Force",84900,124,"Sydney - Outer West and Blue Mountains","NSW"
48,"Not in the Labour Force",145700,125,"Sydney - Parramatta","NSW"
52,"Not in the Labour Force",54000,126,"Sydney - Ryde","NSW"
56,"Not in the Labour Force",157100,127,"Sydney - South West","NSW"
60,"Not in the Labour Force",53200,128,"Sydney - Sutherland","NSW"
64,"Not in the Labour Force",79700,101,"Capital Region","NSW"
68,"Not in the Labour Force",52700,103,"Central West","NSW"
72,"Not in the Labour Force",52200,104,"Coffs Harbour - Grafton","NSW"
76,"Not in the Labour Force",33800,105,"Far West and Orana","NSW"
80,"Not in the Labour Force",89300,106,"Hunter Valley exc Newcastle","NSW"
84,"Not in the Labour Force",94700,107,"Illawarra","NSW"
88,"Not in the Labour Force",97200,108,"Mid North Coast","NSW"
92,"Not in the Labour Force",37800,109,"Murray","NSW"
96,"Not in the Labour Force",55800,110,"New England and North West","NSW"
100,"Not in the Labour Force",113300,111,"Newcastle and Lake Macquarie","NSW"
104,"Not in the Labour Force",80400,112,"Richmond - Tweed","NSW"
108,"Not in the Labour Force",43300,113,"Riverina","NSW"
112,"Not in the Labour Force",55200,114,"Southern Highlands and Shoalhaven","NSW"
116,"Not in the Labour Force",164400,206,"Melbourne - Inner","VIC"
120,"Not in the Labour Force",107700,207,"Melbourne - Inner East","VIC"
124,"Not in the Labour Force",123200,208,"Melbourne - Inner South","VIC"
128,"Not in the Labour Force",152100,209,"Melbourne - North East","VIC"
132,"Not in the Labour Force",127200,210,"Melbourne - North West","VIC"
136,"Not in the Labour Force",153200,211,"Melbourne - Outer East","VIC"
140,"Not in the Labour Force",226400,212,"Melbourne - South East","VIC"
144,"Not in the Labour Force",212500,213,"Melbourne - West","VIC"
148,"Not in the Labour Force",94000,214,"Mornington Peninsula","VIC"
152,"Not in the Labour Force",52100,201,"Ballarat","VIC"
156,"Not in the Labour Force",46400,202,"Bendigo","VIC"
160,"Not in the Labour Force",86000,203,"Geelong","VIC"
164,"Not in the Labour Force",47800,204,"Hume","VIC"
168,"Not in the Labour Force",103700,205,"Latrobe - Gippsland","VIC"
172,"Not in the Labour Force",50400,215,"North West","VIC"
176,"Not in the Labour Force",46600,216,"Shepparton","VIC"
180,"Not in the Labour Force",35000,217,"Warrnambool and South West","VIC"
184,"Not in the Labour Force",63700,301,"Brisbane - East","QLD"
188,"Not in the Labour Force",50000,302,"Brisbane - North","QLD"
192,"Not in the Labour Force",96900,303,"Brisbane - South","QLD"
196,"Not in the Labour Force",49700,304,"Brisbane - West","QLD"
200,"Not in the Labour Force",56200,305,"Brisbane Inner City","QLD"
204,"Not in the Labour Force",92700,310,"Ipswich","QLD"
208,"Not in the Labour Force",98900,311,"Logan - Beaudesert","QLD"
212,"Not in the Labour Force",100100,313,"Moreton Bay - North","QLD"
216,"Not in the Labour Force",51500,314,"Moreton Bay - South","QLD"
220,"Not in the Labour Force",68500,306,"Cairns","QLD"
224,"Not in the Labour Force",32300,307,"Darling Downs - Maranoa","QLD"
228,"Not in the Labour Force",55600,308,"Central Queensland","QLD"
232,"Not in the Labour Force",157100,309,"Gold Coast","QLD"
236,"Not in the Labour Force",39700,312,"Mackay - Isaac - Whitsunday","QLD"
240,"Not in the Labour Force",20300,315,"Queensland - Outback","QLD"
244,"Not in the Labour Force",134900,316,"Sunshine Coast","QLD"
248,"Not in the Labour Force",53400,317,"Toowoomba","QLD"
252,"Not in the Labour Force",63400,318,"Townsville","QLD"
256,"Not in the Labour Force",127300,319,"Wide Bay","QLD"
260,"Not in the Labour Force",90000,401,"Adelaide - Central and Hills","SA"
264,"Not in the Labour Force",135700,402,"Adelaide - North","SA"
268,"Not in the Labour Force",110700,403,"Adelaide - South","SA"
272,"Not in the Labour Force",74500,404,"Adelaide - West","SA"
276,"Not in the Labour Force",38100,405,"Barossa - Yorke - Mid North","SA"
280,"Not in the Labour Force",22000,406,"South Australia - Outback","SA"
284,"Not in the Labour Force",70800,407,"South Australia - South East","SA"
288,"Not in the Labour Force",43800,502,"Mandurah","WA"
292,"Not in the Labour Force",47600,503,"Perth - Inner","WA"
296,"Not in the Labour Force",72900,504,"Perth - North East","WA"
300,"Not in the Labour Force",142400,505,"Perth - North West","WA"
304,"Not in the Labour Force",127200,506,"Perth - South East","WA"
308,"Not in the Labour Force",108300,507,"Perth - South West","WA"
312,"Not in the Labour Force",52300,501,"Bunbury","WA"
316,"Not in the Labour Force",42200,509,"Western Australia - Wheat Belt","WA"
320,"Not in the Labour Force",70000,601,"Hobart","TAS"
324,"Not in the Labour Force",46800,602,"Launceston and North East","TAS"
328,"Not in the Labour Force",15100,603,"South East","TAS"
332,"Not in the Labour Force",41500,604,"West and North West","TAS"
336,"Not in the Labour Force",28300,701,"Darwin","NT"
340,"Not in the Labour Force",24900,702,"Northern Territory - Outback","NT"
3,"Unemployed Total",8000,102,"Central Coast","NSW"
7,"Unemployed Total",7100,115,"Sydney - Baulkham Hills and Hawkesbury","NSW"
11,"Unemployed Total",13900,116,"Sydney - Blacktown","NSW"
15,"Unemployed Total",13800,117,"Sydney - City and Inner South","NSW"
19,"Unemployed Total",6500,118,"Sydney - Eastern Suburbs","NSW"
23,"Unemployed Total",21700,119,"Sydney - Inner South West","NSW"
27,"Unemployed Total",8400,120,"Sydney - Inner West","NSW"
31,"Unemployed Total",9100,121,"Sydney - North Sydney and Hornsby","NSW"
35,"Unemployed Total",5300,122,"Sydney - Northern Beaches","NSW"
39,"Unemployed Total",8000,123,"Sydney - Outer South West","NSW"
43,"Unemployed Total",7900,124,"Sydney - Outer West and Blue Mountains","NSW"
47,"Unemployed Total",18000,125,"Sydney - Parramatta","NSW"
51,"Unemployed Total",5400,126,"Sydney - Ryde","NSW"
55,"Unemployed Total",17900,127,"Sydney - South West","NSW"
59,"Unemployed Total",4100,128,"Sydney - Sutherland","NSW"
63,"Unemployed Total",6500,101,"Capital Region","NSW"
67,"Unemployed Total",2700,103,"Central West","NSW"
71,"Unemployed Total",2300,104,"Coffs Harbour - Grafton","NSW"
75,"Unemployed Total",2800,105,"Far West and Orana","NSW"
79,"Unemployed Total",5600,106,"Hunter Valley exc Newcastle","NSW"
83,"Unemployed Total",8800,107,"Illawarra","NSW"
87,"Unemployed Total",4600,108,"Mid North Coast","NSW"
91,"Unemployed Total",3500,109,"Murray","NSW"
95,"Unemployed Total",4500,110,"New England and North West","NSW"
99,"Unemployed Total",9100,111,"Newcastle and Lake Macquarie","NSW"
103,"Unemployed Total",5600,112,"Richmond - Tweed","NSW"
107,"Unemployed Total",1700,113,"Riverina","NSW"
111,"Unemployed Total",4800,114,"Southern Highlands and Shoalhaven","NSW"
115,"Unemployed Total",24800,206,"Melbourne - Inner","VIC"
119,"Unemployed Total",13200,207,"Melbourne - Inner East","VIC"
123,"Unemployed Total",8400,208,"Melbourne - Inner South","VIC"
127,"Unemployed Total",15300,209,"Melbourne - North East","VIC"
131,"Unemployed Total",15300,210,"Melbourne - North West","VIC"
135,"Unemployed Total",11000,211,"Melbourne - Outer East","VIC"
139,"Unemployed Total",28500,212,"Melbourne - South East","VIC"
143,"Unemployed Total",29800,213,"Melbourne - West","VIC"
147,"Unemployed Total",7000,214,"Mornington Peninsula","VIC"
151,"Unemployed Total",3500,201,"Ballarat","VIC"
155,"Unemployed Total",3300,202,"Bendigo","VIC"
159,"Unemployed Total",5300,203,"Geelong","VIC"
163,"Unemployed Total",3000,204,"Hume","VIC"
167,"Unemployed Total",7500,205,"Latrobe - Gippsland","VIC"
171,"Unemployed Total",2200,215,"North West","VIC"
175,"Unemployed Total",1500,216,"Shepparton","VIC"
179,"Unemployed Total",2700,217,"Warrnambool and South West","VIC"
183,"Unemployed Total",5200,301,"Brisbane - East","QLD"
187,"Unemployed Total",5700,302,"Brisbane - North","QLD"
191,"Unemployed Total",14400,303,"Brisbane - South","QLD"
195,"Unemployed Total",5300,304,"Brisbane - West","QLD"
199,"Unemployed Total",7400,305,"Brisbane Inner City","QLD"
203,"Unemployed Total",15500,310,"Ipswich","QLD"
207,"Unemployed Total",15800,311,"Logan - Beaudesert","QLD"
211,"Unemployed Total",6500,313,"Moreton Bay - North","QLD"
215,"Unemployed Total",7100,314,"Moreton Bay - South","QLD"
219,"Unemployed Total",6900,306,"Cairns","QLD"
223,"Unemployed Total",4800,307,"Darling Downs - Maranoa","QLD"
227,"Unemployed Total",6300,308,"Central Queensland","QLD"
231,"Unemployed Total",18600,309,"Gold Coast","QLD"
235,"Unemployed Total",2400,312,"Mackay - Isaac - Whitsunday","QLD"
239,"Unemployed Total",4500,315,"Queensland - Outback","QLD"
243,"Unemployed Total",8800,316,"Sunshine Coast","QLD"
247,"Unemployed Total",3300,317,"Toowoomba","QLD"
251,"Unemployed Total",5600,318,"Townsville","QLD"
255,"Unemployed Total",9300,319,"Wide Bay","QLD"
259,"Unemployed Total",7400,401,"Adelaide - Central and Hills","SA"
263,"Unemployed Total",15300,402,"Adelaide - North","SA"
267,"Unemployed Total",11300,403,"Adelaide - South","SA"
271,"Unemployed Total",6200,404,"Adelaide - West","SA"
275,"Unemployed Total",3000,405,"Barossa - Yorke - Mid North","SA"
279,"Unemployed Total",3200,406,"South Australia - Outback","SA"
283,"Unemployed Total",3700,407,"South Australia - South East","SA"
287,"Unemployed Total",2700,502,"Mandurah","WA"
291,"Unemployed Total",4900,503,"Perth - Inner","WA"
295,"Unemployed Total",6400,504,"Perth - North East","WA"
299,"Unemployed Total",14600,505,"Perth - North West","WA"
303,"Unemployed Total",16800,506,"Perth - South East","WA"
307,"Unemployed Total",12400,507,"Perth - South West","WA"
311,"Unemployed Total",4600,501,"Bunbury","WA"
315,"Unemployed Total",2700,509,"Western Australia - Wheat Belt","WA"
319,"Unemployed Total",6100,601,"Hobart","TAS"
323,"Unemployed Total",4000,602,"Launceston and North East","TAS"
327,"Unemployed Total",900,603,"South East","TAS"
331,"Unemployed Total",3400,604,"West and North West","TAS"
335,"Unemployed Total",3300,701,"Darwin","NT"
339,"Unemployed Total",2800,702,"Northern Territory - Outback","NT"
